id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4819911761986982,M8lZK8kU6,1999472465,贵阳日报官方微博,【关于10月2日在贵阳贵安部分区域开展核酸检测的公告】根据贵阳贵安当前疫情防控形势，经贵阳市疫情防控现场处置省市联动指挥部研究，决定于2022年10月2日在贵阳贵安部分区域开展核酸检测。现将有关事宜通告如下：一、检测区域和时间重点区域：云岩区、花溪区、乌当区中风险区。其他区域：云岩区、花溪区、乌当区（不含三区重点区域），南明区、白云区、观山湖区、清镇市、修文县三分之一人口；息烽县、开阳县实施“愿检尽检”。时间：7：00开始。二、检测人群明确区域内全体人群，包括但不限于本地常住人口、暂住人口、临时流动人口、外籍人口等。三、检测要求（一）市民群众进入公共场所和乘坐公共交通工具时，需持72小时核酸检测阴性证明（“贵州健康码”或者纸质版证明）。没有智能手机的中小学生凭核酸检测阴性证明纸质版或学生标识（校徽、校卡、学生证、学生公交卡）可不查验“健康码”。行动不便市民群众和婴幼儿进入公共场所或乘坐公共交通工具时，同行人员应持规定时限内的核酸检测阴性证明。办公场所、商超、菜市场、公共交通等所有公共场所均应在明显位置设置“场所码”，所有人员须扫场所码进入，“健康码”绿色者方可进入公共场所。没有“场所码”的公共场所和单位不得营业。有关主管部门要加强行业监管，督查公共场所严格验码。各单位、公共场所和小区要落实主体责任，严格验码或72小时核酸检测阴性证明（“贵州健康码”或纸质版证明）。（二）广大市民朋友参加核酸采样时应规范佩戴口罩，以家庭为单位，每次排队不超过5个家庭，每个家庭保持5米以上距离，不聚众交谈，防止交叉传播风险。（三）核酸采样检测时，48小时内接种过新冠肺炎疫苗的，不参与采样检测，但须向乡（镇、街道）和村（居）报备。（四）有发热（体温≥37.3℃）、干咳、乏力、嗅觉味觉减退或丧失、鼻塞、流涕、咽痛、结膜炎、肌痛、腹泻等症状的人员不在村（居）采样点进行核酸检测，应主动告知村（居）或现场工作人员，并按照属地的安排进行核酸采样。因高龄、卧病在床等行动不便不能参加核酸检测的人员，家属可提前向村（居）报备，由工作人员进行上门采样。（五）核酸检测期间，广大市民群众应严格遵守疫情防控各项规定，积极履行个人义务，按照乡（镇、街道）工作人员安排，主动配合核酸采样。对拒不配合、不支持核酸采样检测工作、扰乱秩序、瞒报、谎报、伪造信息的人员，将依法从严追究法律责任。感谢广大市民群众对贵阳贵安疫情防控工作的理解和支持！特此通告。贵阳市疫情防控现场处置省市联动指挥部2022年10月1日,,,,,0,0,0,2022-10-01 23:59,微博 weibo.com,['https://wx1.sinaimg.cn/large/772d8751gy1h6q8bnsjnsj20an0anwek.jpg'],,
4819911731580211,M8lZH6D5h,2525457764,贵阳新闻网,【关于10月2日在贵阳贵安部分区域开展核酸检测的公告】根据贵阳贵安当前疫情防控形势，经贵阳市疫情防控现场处置省市联动指挥部研究，决定于2022年10月2日在贵阳贵安部分区域开展核酸检测。现将有关事宜通告如下：一、检测区域和时间重点区域：云岩区、花溪区、乌当区中风险区。其他区域：云岩区、花溪区、乌当区（不含三区重点区域），南明区、白云区、观山湖区、清镇市、修文县三分之一人口；息烽县、开阳县实施“愿检尽检”。时间：7：00开始。二、检测人群明确区域内全体人群，包括但不限于本地常住人口、暂住人口、临时流动人口、外籍人口等。三、检测要求（一）市民群众进入公共场所和乘坐公共交通工具时，需持72小时核酸检测阴性证明（“贵州健康码”或者纸质版证明）。没有智能手机的中小学生凭核酸检测阴性证明纸质版或学生标识（校徽、校卡、学生证、学生公交卡）可不查验“健康码”。行动不便市民群众和婴幼儿进入公共场所或乘坐公共交通工具时，同行人员应持规定时限内的核酸检测阴性证明。办公场所、商超、菜市场、公共交通等所有公共场所均应在明显位置设置“场所码”，所有人员须扫场所码进入，“健康码”绿色者方可进入公共场所。没有“场所码”的公共场所和单位不得营业。有关主管部门要加强行业监管，督查公共场所严格验码。各单位、公共场所和小区要落实主体责任，严格验码或72小时核酸检测阴性证明（“贵州健康码”或纸质版证明）。（二）广大市民朋友参加核酸采样时应规范佩戴口罩，以家庭为单位，每次排队不超过5个家庭，每个家庭保持5米以上距离，不聚众交谈，防止交叉传播风险。（三）核酸采样检测时，48小时内接种过新冠肺炎疫苗的，不参与采样检测，但须向乡（镇、街道）和村（居）报备。（四）有发热（体温≥37.3℃）、干咳、乏力、嗅觉味觉减退或丧失、鼻塞、流涕、咽痛、结膜炎、肌痛、腹泻等症状的人员不在村（居）采样点进行核酸检测，应主动告知村（居）或现场工作人员，并按照属地的安排进行核酸采样。因高龄、卧病在床等行动不便不能参加核酸检测的人员，家属可提前向村（居）报备，由工作人员进行上门采样。（五）核酸检测期间，广大市民群众应严格遵守疫情防控各项规定，积极履行个人义务，按照乡（镇、街道）工作人员安排，主动配合核酸采样。对拒不配合、不支持核酸采样检测工作、扰乱秩序、瞒报、谎报、伪造信息的人员，将依法从严追究法律责任。感谢广大市民群众对贵阳贵安疫情防控工作的理解和支持！特此通告。贵阳市疫情防控现场处置省市联动指挥部2022年10月1日,,,,,0,0,0,2022-10-01 23:59,微博 weibo.com,['https://wx2.sinaimg.cn/large/96876d64gy1h6q8bt0y2wj20an0anmx8.jpg'],,
4819911711131110,M8lZF4KfI,6837418948,你一定来过这里,一个在福建没喝过酒的人今天和朋友在线上喝酒百威和烟草的味道让这个人感觉即陌生又熟悉#让新冠肺炎滚出地球#,,,,让新冠肺炎滚出地球,0,1,0,2022-10-01 23:59,iPhone客户端,,,
4819911681775692,M8lZC7rWc,1942671465,拜仁中国球迷协会同仁会,官方：穆勒和基米希新冠阳性,,,,,0,3,1,2022-10-01 23:59,iPhone客户端,,,
4819911631700609,M8lZx78pb,3740356007,贵阳网,【关于10月2日在贵阳贵安部分区域开展核酸检测的公告】根据贵阳贵安当前疫情防控形势，经贵阳市疫情防控现场处置省市联动指挥部研究，决定于2022年10月2日在贵阳贵安部分区域开展核酸检测。现将有关事宜通告如下：一、检测区域和时间重点区域：云岩区、花溪区、乌当区中风险区。其他区域：云岩区、花溪区、乌当区（不含三区重点区域），南明区、白云区、观山湖区、清镇市、修文县三分之一人口；息烽县、开阳县实施“愿检尽检”。时间：7：00开始。二、检测人群明确区域内全体人群，包括但不限于本地常住人口、暂住人口、临时流动人口、外籍人口等。三、检测要求（一）市民群众进入公共场所和乘坐公共交通工具时，需持72小时核酸检测阴性证明（“贵州健康码”或者纸质版证明）。没有智能手机的中小学生凭核酸检测阴性证明纸质版或学生标识（校徽、校卡、学生证、学生公交卡）可不查验“健康码”。行动不便市民群众和婴幼儿进入公共场所或乘坐公共交通工具时，同行人员应持规定时限内的核酸检测阴性证明。办公场所、商超、菜市场、公共交通等所有公共场所均应在明显位置设置“场所码”，所有人员须扫场所码进入，“健康码”绿色者方可进入公共场所。没有“场所码”的公共场所和单位不得营业。有关主管部门要加强行业监管，督查公共场所严格验码。各单位、公共场所和小区要落实主体责任，严格验码或72小时核酸检测阴性证明（“贵州健康码”或纸质版证明）。（二）广大市民朋友参加核酸采样时应规范佩戴口罩，以家庭为单位，每次排队不超过5个家庭，每个家庭保持5米以上距离，不聚众交谈，防止交叉传播风险。（三）核酸采样检测时，48小时内接种过新冠肺炎疫苗的，不参与采样检测，但须向乡（镇、街道）和村（居）报备。（四）有发热（体温≥37.3℃）、干咳、乏力、嗅觉味觉减退或丧失、鼻塞、流涕、咽痛、结膜炎、肌痛、腹泻等症状的人员不在村（居）采样点进行核酸检测，应主动告知村（居）或现场工作人员，并按照属地的安排进行核酸采样。因高龄、卧病在床等行动不便不能参加核酸检测的人员，家属可提前向村（居）报备，由工作人员进行上门采样。（五）核酸检测期间，广大市民群众应严格遵守疫情防控各项规定，积极履行个人义务，按照乡（镇、街道）工作人员安排，主动配合核酸采样。对拒不配合、不支持核酸采样检测工作、扰乱秩序、瞒报、谎报、伪造信息的人员，将依法从严追究法律责任。感谢广大市民群众对贵阳贵安疫情防控工作的理解和支持！特此通告。贵阳市疫情防控现场处置省市联动指挥部2022年10月1日,,,,,0,0,0,2022-10-01 23:59,微博 weibo.com,['https://wx2.sinaimg.cn/large/def14da7gy1h6q8bd5rwoj20an0andfw.jpg'],,
4819911626984105,M8lZwtiSR,2860063900,何绯墨_,看完升旗补了一天的觉现在精力已经不足以通宵后还能上一天的课了晚上起来跟舍友去本部吃饭看电影整体笑点和泪点都是有的但总感觉到一丝丝尴尬emmm以及π+真的好像新冠病毒！！！,,,,,0,1,3,2022-10-01 23:59,iPhone客户端,"['https://wx4.sinaimg.cn/large/aa791c9cgy1h6q875572yj23402c07wh.jpg', 'https://wx3.sinaimg.cn/large/aa791c9cgy1h6q876g4yvj23402c0qjj.jpg', 'https://wx3.sinaimg.cn/large/aa791c9cgy1h6q877povtj23402c0e2i.jpg']",,
4823173255923149,M9IQdoQSF,1822580831,田中心春,草田给舰c画立绘的时候是17岁，当时在你游确实是名气和画功最底层能理解她奋斗的理由，在新冠后遗症的折磨下依旧努力工作，但是结果不应该是这样的……,,,,,4,0,6,2022-10-10 23:59,Vat1stAndroid,,,
4823173041753490,M9IPS7ma6,2422964680,人的道路是草的海洋,家家被偷了小区小区焊了铁皮新冠我超你麻#阜阳#,,,,阜阳,0,11,2,2022-10-10 23:58,iPhone客户端,,,
4823172932961544,M9IPHcqqQ,3787989273,司马常阳,今天的抗疫医药方向有点靓眼，主要为两个方面：一是新冠检测方向，二是中药抗疫方向。,,,,,0,0,2,2022-10-10 23:58,,,,
4823172891805784,M9IPD7zLy,6995605093,TURBOCAGE,【四川叙永县新增本土新冠病毒感染者154例】四川泸州市叙永县10月10日0—14时新增本土新冠病毒感染者154例，其中150例在管控人员中发现，无社会面活动轨迹。,,,,,0,0,0,2022-10-10 23:58,,,,
