id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4822448576926181,M9pZnt3OB,2815346324,中天電視亞洲台FUN,【因疫情延宕多时 布拉格爱乐首登场】因疫情而延宕多时，首屈一指的布拉格爱乐管弦乐团总算要在台湾首登场，为了一连四天的演奏行程，下午音乐家们紧锣密鼓地彩排，一连演奏两首作品，包括史麦塔纳歌剧《被出卖的新娘》序曲与和拉赫曼尼诺夫C小调第2号钢琴协奏曲的第一乐章，乐团和钢琴家也相当有演奏默契。,,,,,0,0,0,2022-10-09 00:00,微博 weibo.com,['https://wx1.sinaimg.cn/large/a7cec694gy1h6y8xiu5xvj20sg0iz0vd.jpg'],,
4822448577712740,M9pZnwmr2,2580804213,婧婧不想睡i,2022❄️飘雪带来好运希望疫情早点结束,,,,,0,4,1,2022-10-09 00:00,马超老婆的iPhone 13,"['https://wx2.sinaimg.cn/large/99d3f275ly1h6ybocwt71j20lm0bj3ys.jpg', 'https://wx3.sinaimg.cn/large/99d3f275ly1h6ybocopxvj22hl217u0x.jpg']",,
4822448576665617,M9pZnrY1X,6037365082,我爱学习哈哈哈哈哈,BKPP因为疫情刚刚开学刚刚做完英语作业刚刚还很烦躁的大学生感动得哭死在宿舍一天的坏心情都被治愈了他们一定要好好的,,,,,0,0,0,2022-10-09 00:00,BKPP超话,['https://wx4.sinaimg.cn/large/006AAasagy1h6ybnmmn9hj30j80iwdfy.jpg'],,
4822448551232482,M9pZl5aCK,1879492953,易绍杰,#广汉疫情#解封失败继续封,,,,广汉疫情,0,7,4,2022-10-08 23:59,iPhone 12,['https://wx3.sinaimg.cn/large/7006c959gy1h6yboe98inj20u01hctns.jpg'],,
4822448547038208,M9pZktwXu,2962468102,我需要变有钱,好讨厌疫情,,,,,0,7,1,2022-10-08 23:59,iPhone客户端,,,
4822448531313074,M9pZj5vAC,2696535460,睡不着的星星便利店,热情有限热爱要及时可是疫情不允许,,,,,0,0,3,2022-10-08 23:59,iPhone客户端,"['https://wx3.sinaimg.cn/large/a0b9dda4gy1h6ybfoaeprj221431pu0y.jpg', 'https://wx3.sinaimg.cn/large/a0b9dda4gy1h6ybfv19ewj236c2bznph.jpg', 'https://wx2.sinaimg.cn/large/a0b9dda4gy1h6ybfxv45oj23402c0kjn.jpg', 'https://wx3.sinaimg.cn/large/a0b9dda4gy1h6ybgayqy4j21tg2q51l1.jpg', 'https://wx1.sinaimg.cn/large/a0b9dda4gy1h6ybg3modqj21g0261e82.jpg', 'https://wx1.sinaimg.cn/large/a0b9dda4gy1h6ybg7e3n1j23402c0npg.jpg', 'https://wx1.sinaimg.cn/large/a0b9dda4gy1h6ybi4gydqj220g30ne84.jpg', 'https://wx4.sinaimg.cn/large/a0b9dda4gy1h6ybgd77shj21l11l1e82.jpg', 'https://wx2.sinaimg.cn/large/a0b9dda4gy1h6ybggt6vmj23402c07wj.jpg']",,
4822448530787597,M9pZj3iTb,3188683102,保持清醒和快乐叭,2022.10.08晚安，愿世界和平，疫情快结束！❤️愿家人和吴世勋，肖战，王一博一定一定要身体健康快乐平安永远永远愿你们开心第一愿你们万事先讨好自己♡希望那些不怀好意的私生你们远一点！希望王一博以后摩托车比赛再也不要遇见某种货色🙏🙏@wu世勋-EXO@X玖少年团肖战DAYTOY@UNIQ-王一博,,,"wu世勋-EXO,X玖少年团肖战DAYTOY,UNIQ-王一博",,0,0,0,2022-10-08 23:59,啵啵要快乐HarmonyOS设备,,,
4822448518464371,M9pZhzvY7,3208330225,我睡觉不做梦,真的是购物能带来快乐，这两天备资料备到精疲力尽，今天躺下以后打开橙色软件买买买我知道他疫情原因发不了货，但是我现在急需这样一份花钱的快乐，剁完手整个人就很轻松,,,,,0,2,5,2022-10-08 23:59,iPhone客户端,,,
4822448514007238,M9pZhgOsS,6436201304,那又怎么样vo,从三亚来琼海本来要玩几天再去海口结果疫情又天天下雨今天直接变黄码只能明天再回三亚继续呆在酒店,,,,,0,0,0,2022-10-08 23:59,iPhone客户端,,,
4822448501687652,M9pZg752c,1795495701,R-M-Y,早上送孩子上学回来，老公就跟我说:我们出去吃早餐吧！我:去哪吃？星巴克？我随口说的，以为他是到楼下吃肠粉。他说:是的，星巴克的早餐也挺不错的，你不是想买鞋吗？顺便去看看。我说不想去，疫情没心情。他说别把自己禁固住。然后出去吃早餐，逛商场，两个人。,,,,,0,0,0,2022-10-08 23:59,iPhone客户端,['https://wx2.sinaimg.cn/large/6b051715gy1h6ybndlmbvj20u0140wmp.jpg'],,
