id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4823173231023036,M9IQb4i8A,1884433311,沐沐沐沐沐剑屏,病例63用亲身经历告诉我们为什么不要和亲戚来往太密切成年人的交往点到即止,,,,,0,2,0,2022-10-10 23:59,iPhone客户端,['https://wx1.sinaimg.cn/large/70522b9fly1h70mv9px3zj20u01mrn5s.jpg'],,
4823173080809630,M9IPW3oCy,1635680237,洛桑Meido,牙医把昨天给我补牙的照片发朋友圈了我单方面宣布我是他所有朋友圈病例里牙最白的！,,,,,0,1,2,2022-10-10 23:58,HUAWEI P50 Pro,,,
4823172815261284,M9IPvm4Hq,2978524965,福神syg,10月9日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例434例。其中境外输入病例61例本土病例373例#10月9日新增本土无症状1566例#,,,,10月9日新增本土无症状1566例,0,1,1,2022-10-10 23:57,,"['https://wx1.sinaimg.cn/large/b188af25gy1h70muwazpoj20u01hc7dg.jpg', 'https://wx4.sinaimg.cn/large/b188af25gy1h70muwyjdhj20u01hc18t.jpg']",,
4823172664788834,M9IPgk5Ng,1450261187,肿瘤诊疗中心老彭,西达本胺在乳腺癌治疗中的应用，从机制到方案，一文讲懂！世界卫生组织国际癌症研究机构（IARC）发布的2020年全球最新癌症负担数据显示：2020年全球新发癌症病例1929万例，死亡病例996万例。女性乳腺癌发病率已...O网页链接来自@用药助手,,,用药助手,,0,0,1,2022-10-10 23:57,用药助手,,,
4823172069200592,M9IOiCBuE,6533136483,CC超ProlgueSU-FU37,*山东新增*本土*确诊病例2例、*本土*无症状*感染者11例。：那么，这个病毒的传播力还是非常强的！！：说白了，这就是一种*肺炎！是一种*传染病啦！！！属于就是：肺病啦1！：*肺病的疾病：而且是*传染病！啥也不说啦！！那么：一定要更加的*小心的，*全方面的，*立体式的，*全方位的，*防护：*任何人的防护啦！！,,,,,0,4,4,2022-10-10 23:54,微博 weibo.com,['https://wx3.sinaimg.cn/large/00788nf5ly1h70mr2o6caj30kv0ewaf4.jpg'],,
4823171880977384,M9IO046gg,6440265695,张家口化妆大讲堂,爱优牙整牙案例内容源于：O网页链接易娟：武大口腔医学硕士，师从武大叶翁三杰教授，从事牙齿矫正工作近二十年，对牙颌面美学与功能重塑、各类错颌畸形疑难病例有着丰富的诊疗经验。骨性双颌前突，上下唇外翻，正畸实现口颌面功能及美观协调患者属于骨性双颌前突，右侧尖牙磨牙远中关系，下前牙牙龈轻微退缩，上下唇外翻。◻️姑娘的情况在正畸中属于疑难案例，矫正方案设计需要特别谨慎。◻️矫正重难点分析：1️⃣患者为薄龈型，下前牙根骨关系不佳，在牙齿内收过程中有骨开窗风险——方案设计中下前牙增加正转矩，定期调整转矩大小。2️⃣她的牙弓狭窄，口腔空间小，需要拓展牙弓宽度，虽然成年人扩弓难度较大，但利用矫治器可以做到少量扩弓，也可以维持矫正结束后的结果稳定性。◻️矫正结束后，比较明显也是患者比较满意的变化就是侧貌突度的变化，骨性问题能够通过正畸得到的面型改善，已经是非常显著的。#武汉牙齿矫正##武汉正畸##武汉隐形矫正##口腔门诊/龅牙弓和飞虎弓区别日本人牙齿不齐视频//,,,,"武汉牙齿矫正,武汉正畸,武汉隐形矫正",0,1,0,2022-10-10 23:54,爱优牙超话,"['https://wx4.sinaimg.cn/large/0071QHj9gy1h70mpuhnl7j30u00u044w.jpg', 'https://wx4.sinaimg.cn/large/0071QHj9gy1h70mpv8wd3j30u00u00wl.jpg', 'https://wx3.sinaimg.cn/large/0071QHj9gy1h70mpvrdsyj30a00a00t4.jpg', 'https://wx3.sinaimg.cn/large/0071QHj9gy1h70mpwswnaj30u00u0gp7.jpg', 'https://wx4.sinaimg.cn/large/0071QHj9gy1h70mpxmehgj30u00u0jv7.jpg', 'https://wx3.sinaimg.cn/large/0071QHj9gy1h70mpybl6oj30u00u0tce.jpg']",,
4823171868397129,M9INYzetz,2978524965,福神syg,#疫情速报#【最新！10月9日#河北省#新型冠状病毒肺炎疫情情况】2022年10月9日0—24时，河北省无新增新型冠状病毒肺炎确诊病例；新增无症状感染者20例，其中张家口市8例（经开区6例、宣化区2例）、邯郸市5例（磁县4例、邯山区1例）、廊坊市4例（三河市2例、香河县2例）、秦皇岛市2例（海港区）、石家庄市1例（赵县）。无症状感染者解除医学观察6例。截至10月9日24时，河北省现有确诊病例3例；尚在医学观察无症状感染者105例。@健康河北官微,,,健康河北官微,"疫情速报,河北省",0,0,0,2022-10-10 23:54,,['https://wx1.sinaimg.cn/large/b188af25gy1h707wcon3dj20jp0jpgo1.jpg'],,
4823171839296077,M9INVD0kJ,2978524965,福神syg,【2022年10月9日#湖北省新冠肺炎疫情情况#】10月9日0-24时，全省新增本土确诊病例0例，新增本土无症状感染者48例（荆州市15例，均为隔离点检出；荆门市10例，均为隔离点检出；黄冈市8例，其中7例为新疆来鄂闭环管控人员，1例为隔离点检出；仙桃市8例，均为隔离点检出；襄阳市2例，其中1例为隔离点检出；恩施州2例；武汉市1例；十堰市1例；宜昌市1例为隔离点检出），新增境外输入确诊病例0例，新增境外输入无症状感染者6例（土耳其输入1例，巴基斯坦输入1例，塞尔维亚输入3例，中国香港输入1例），新增疑似病例0例，新增死亡病例0例，当日出院病例0例，当日解除无症状感染者医学观察6例（武汉市2例，荆州市3例；境外输入1例）。截至10月9日24时，在定点医疗机构治疗的本土确诊病例1例（在武汉市，轻型），疑似病例0例。尚在集中隔离医学观察的本土无症状感染者337例（武汉市87例，荆州市80例，仙桃市72例，荆门市32例，黄冈市22例，恩施州9例，十堰市6例，孝感市6例，随州市6例，襄阳市5例，宜昌市5例，鄂州市4例，天门市2例，黄石市1例）。在定点医疗机构治疗的境外输入确诊病例1例，为轻型；尚在集中隔离医学观察的境外输入无症状感染者24例。全省累计治愈出院63916例，累计病亡4512例，累计报告新冠肺炎确诊病例68430例。尚在集中隔离医学观察的密切接触者13367人。（来源：湖北省卫生健康委员会）O网页链接,,,,湖北省新冠肺炎疫情情况,0,0,1,2022-10-10 23:53,,['https://wx2.sinaimg.cn/large/b188af25gy1h70mnzpuqxj20jp0jpgo1.jpg'],,
4823171792375965,M9INR9Y61,2117486514,柳伟卫,#惠州疫情#10月10日12-24时，#仲恺高新区#新增1例新冠肺炎确诊病例（轻型）。新增病例情况：女，30岁，家住惠城区三栋镇恒康二路福源居，工作地址：仲恺高新区惠南科技园东森检测科技园。10月3-8日核酸检测阴性，10月10日核酸检测阳性。该病例已转送至定点医院隔离治疗，情况稳定。经初步流调，病例近7天主要活动在惠城区三栋镇、仲恺高新区惠南科技园。10月4日：主要涉及三栋镇鹿颈村6组、博邦人力劳务派遣公司、嘉华百货生活超市、尚美美容SPA。10月5-10日：在住所及公司间往返，主要涉及惠城区溢基服装配料厂核酸采样点、飞翔摩托车城、笼香汤包、狗不理汤包、邓海营诊所和仲恺高新区惠南实验学校核酸采样点。目前，正在有序开展流调溯源、隔离管控、核酸检测、医疗救治等处置工作。请有共同轨迹暴露的市民尽快到社区报备并开展核酸检测。,,,,"惠州疫情,仲恺高新区",0,0,0,2022-10-10 23:53,微博 HTML5 版,,,
4823171725528221,M9INKnc8R,2978524965,福神syg,【2022年10月10日浙江省新型冠状病毒肺炎疫情通报】10月9日0-24时，11个市报告新增本土阳性9例，其中集中隔离点检出7例、居家隔离检出1例、卡口拦截1例，均已落实管控措施。11个市报告新增确诊病例8例。其中境外输入病例1例（由此前境外输入的无症状感染者转为确诊）；本土病例7例(杭州市5例，宁波市1例，衢州市1例)，其中5例为此前的无症状感染者转为确诊（杭州市5例），当日新检出确诊为2例。当日新增治愈出院病例3例，现有确诊病例32例。11个市报告新增无症状感染者22例。其中境外输入15例(中国香港输入6例，越南输入2例，印度尼西亚输入1例，贝宁输入1例，美国输入1例，哥伦比亚输入1例，西班牙输入1例，荷兰输入1例，英国输入1例)；本土7例(杭州市6例，温州市1例)。当日解除医学观察的无症状感染者11例，尚在医学观察的无症状感染者190例。via浙江省卫生健康委,,,,,0,0,1,2022-10-10 23:53,,['https://wx1.sinaimg.cn/large/b188af25gy1h70mqepn1lj20jp0jpgo1.jpg'],,
4823171674933427,M9INFkHpp,2978524965,福神syg,【10月9日0时-24时海南省新冠肺炎疫情最新情况】2022年10月9日0时—24时，海南省新增感染者3例。其中，新增本土确诊病例3例（海口市1例、文昌市2例），均在集中隔离管控人员中发现。（海南省卫生健康委员会）,,,,,0,0,0,2022-10-10 23:53,,['https://wx4.sinaimg.cn/large/b188af25gy1h70mq6r015j20jp0jpgo1.jpg'],,
4823171537305785,M9INruEzf,2978524965,福神syg,#云南疫情最新通报#【10月9日云南省新冠肺炎疫情情况】10月9日0—24时，云南省新冠肺炎疫情情况如下：新增境外输入感染者2例，均为无症状感染者（陆路输入、航空输入各1例）。新增外省入滇感染者38例，分别来自新疆37例、甘肃1例，其中确诊病例11例（彝良县8例、勐腊县1例、元江县1例、大关县1例），无症状感染者27例（宾川县14例、个旧市3例、富源县4例、元江县4例、彝良县1例、弥勒市1例）。新增省内感染者37例，其中确诊病例15例（勐海县10例、瑞丽市3例、景洪市2例），无症状感染者22例（瑞丽市12例、勐海县8例、盈江县1例、镇康县1例）。已公布的无症状感染者转为确诊病例2例（勐海县）。（云南省卫生健康委员会）,,,,云南疫情最新通报,0,0,1,2022-10-10 23:52,,['https://wx3.sinaimg.cn/large/b188af25gy1h70mpm9td5j20jp0jpgo1.jpg'],,
4823170932805463,M9IMtbLPp,2978524965,福神syg,【广东昨日新增本土确诊病例27例和无症状感染者24例】10月9日0-24时，全省新增本土确诊病例27例（广州5例，深圳9例，珠海2例，佛山5例，韶关1例，惠州5例）；新增本土无症状感染者24例（广州15例，深圳1例，珠海3例，惠州4例，云浮1例）；另有4例本土无症状感染者转确诊病例（佛山1例，东莞1例，江门1例，湛江1例）。全省新增境外输入确诊病例25例（广州12例，深圳10例，佛山1例，汕尾1例，江门1例）；新增境外输入无症状感染者25例（广州14例，深圳1例，珠海2例，佛山6例，东莞1例，中山1例）；另有2例境外输入无症状感染者转确诊病例（广州1例，东莞1例）。全省新增出院30例（境外输入14例），目前在院536例（境外输入189例）；新增解除医学观察无症状感染者17例（境外输入15例），尚在医学观察无症状感染者347例（境外输入142例）。,,,,,0,0,1,2022-10-10 23:50,,['https://wx1.sinaimg.cn/large/b188af25gy1h7080inkk7j20an0an3zi.jpg'],,
4823170583895164,M9ILUglje,6379836918,yxt废话日记,#广安疫情#广安近七日有病例了吗？准备来洗码…….,,,,广安疫情,0,0,0,2022-10-10 23:49,iPhone客户端,,,
4823170139558240,M9ILbE6xa,6582188142,合肥兔曹君,根据美国约翰斯·霍普金斯大学数据，当地时间10月7日，美国新增确诊病例超过5万例，累计确诊病例超过9665万例；新增死亡病例超过400例，累计死亡病例超过106万例。美国新冠肺炎疫情形势仍然严峻。,,,,,1,18,23,2022-10-10 23:47,一加 Ace,['https://wx3.sinaimg.cn/large/007bsbOSly1h70mjur852j30i70ig77q.jpg'],,
4823170093683345,M9IL7fscN,1744221805,中国传媒大学潘力,O网页链接-新疆乌鲁木齐市新增本土确诊病例17例新增本土无症状感染者192例-今日头条,,,,,0,0,0,2022-10-10 23:47,HUAWEI Mate 40 Pro,,,
4823169964181276,M9IKUhxJW,7320944524,_Drafts_,四平有病例了，我们又转为线上，三天不能取快递今早还化了妆见到了师弟师妹们,,,,,0,1,1,2022-10-10 23:46,iPhone客户端,,,
4823169804271710,M9IKEhVgy,6730693428,小狄同学_,傲视天鹰医学考研打卡墨墨单词300个，每日长难句day173，腿姐每日一题day126。阅读1篇，完型一篇，翻译一篇。腿姐刷题计划。外科视频课+对应真题。病例分析视频课。,,,,,0,0,0,2022-10-10 23:45,傲视天鹰医学考研打卡超话,['https://wx3.sinaimg.cn/large/007lviPqgy1h70micrey7j30u01u0gt4.jpg'],,
4823169615005972,M9IKll0hu,1322847342,泉州那些事儿,台湾新增32117例新冠确诊病例，新增57例死亡病例台湾今日（10日）公布，新增32117例新冠确诊病例，分别为32068例本土病例及49例境外输入病例。确诊病例中新增57例死亡病例。截至目前，台湾地区新冠确诊病例累计6903610例，其中6868101例为本土病例。2020年起台湾地区累计11584例新冠死亡病例，其中11568例本土病例，另16例为境外输入。,,,,,0,0,1,2022-10-10 23:45,,"['https://wx3.sinaimg.cn/large/4ed90c6egy1h70mhlxqlkj20u014n4b9.jpg', 'https://wx4.sinaimg.cn/large/4ed90c6egy1h70mhmfxmcj20u00l8q7h.jpg', 'https://wx3.sinaimg.cn/large/4ed90c6egy1h70mhldokbj20u00l8jxj.jpg']",,
4823169540031845,M9IKe08hD,2050709262,赵祺杬,#太原疫情#晋源63#病例有点厉害啊国庆期间是集中见了亲戚吗？形势依然严峻不能掉以轻心,,,,太原疫情,0,1,3,2022-10-10 23:44,iPhone客户端,,,
4823168857146184,M9IJ7tZ32,6356586396,枳实花开,破了八个单冠，A4-B4，个个都是活髓牙，离谱。今日份离谱病例记录。,,,,,0,0,0,2022-10-10 23:42,Redmi K40,['https://wx1.sinaimg.cn/large/006WbAv2gy1h70mcupmn2j32dc35s79g.jpg'],,
4823168642977443,M9IIMcuzh,2244300902,Daniella_D,眼睁睁看着西北从没啥病例到三天两头静默管理，学生都放家里上网课，真不知道我弟可咋办,,,,,0,4,2,2022-10-10 23:41,iPhone客户端,,,
4823168105059441,M9IHUlebT,1649111590,路人路,为啥就高风险了，都没看到新增病例情况,,,,,0,15,6,2022-10-10 23:39,善解人意双鱼座,['https://wx4.sinaimg.cn/large/624b7226ly1h70mabgc30j20u0231gu3.jpg'],,
4823168096931482,M9IHTt5c6,5405988431,lntouchabler,对于近期各地新增大量新冠病例，我的看法是只要认真检测，全国恐怕没有一个幸存者。,,,,,0,0,0,2022-10-10 23:39,HUAWEI P40 Pro 5G,,,
4823167966647498,M9IHGrTjI,6358279981,北京隐适美医生,爱优牙『快捷入口，可点评论处』想要预箹医生面诊，就用这个神器~>>爱优牙小呈序，专业预箹正畸医生平台>>大中小城市都有，你可以按委员、公立主任等等条件筛选>>也可按案例类似进行选择，比如龅牙，隐适美，拔牙，片切等选择合适的，进医生主页还能看到详细信息，预箹即可等待到店面诊#武汉突嘴/牙齿外凸/隐适美/郑州牙齿矫正/隐形矫正技术过硬负责的医生有哪些##隐适美时代天使##牙齿矫正的最佳年龄和价格是多少/代偿性正畸是什么意思/塌鼻梁龅牙/牙齿不齐不敢露齿/牙齿密集不齐/深覆盖正畸手术临床病例/粘托槽材料/隐形矫治/牙齿到了什么年龄会有问题/矫正牙齿一般多久可以看到效果#,,,,"武汉  突嘴/牙齿外凸/隐适美/郑州牙齿矫正/隐形矫正 技术过硬负责的医生有哪些,隐适美 时代天使,牙齿矫正的最佳年龄和价格是多少/代偿性正畸是什么意思/塌鼻梁龅牙/牙齿不齐不敢露齿/牙齿密集不齐/深覆盖正畸手术临床病例/粘托槽材料/隐形矫治/牙齿到了什么年龄会有问题/矫正牙齿一般多久可以看到效果",0,1,0,2022-10-10 23:38,,"['https://wx3.sinaimg.cn/large/006WiH4Vgy1h70matghg8j30j615jdhc.jpg', 'https://wx4.sinaimg.cn/large/006WiH4Vgy1h70mau01nxj30j615j3zf.jpg', 'https://wx2.sinaimg.cn/large/006WiH4Vgy1h70maqkonyj30j615j76w.jpg', 'https://wx3.sinaimg.cn/large/006WiH4Vgy1h70mapi8yej30j615jdii.jpg', 'https://wx4.sinaimg.cn/large/006WiH4Vgy1h70maq13ulj30j615jdih.jpg', 'https://wx3.sinaimg.cn/large/006WiH4Vgy1h70martdtvj30j615jq49.jpg', 'https://wx3.sinaimg.cn/large/006WiH4Vgy1h70mauqomgj30j615jgmo.jpg', 'https://wx3.sinaimg.cn/large/006WiH4Vgy1h70mavft5wj30j615j3zo.jpg', 'https://wx3.sinaimg.cn/large/006WiH4Vgy1h70masvgohj30j615jjv8.jpg']",,
4823167892456421,M9IHzaj1H,7380902376,·iEstherPink,#辽宁新增4例本土确诊病例和26例本土无症状感染者#让我滚蛋回家谢谢,,,,辽宁新增4例本土确诊病例和26例本土无症状感染者,0,0,0,2022-10-10 23:38,iPhone 13,,,
4823167799398222,M9IHpDqUe,1869745492,乐生活在惠州,【10月10日12-24时，惠州市仲恺高新区新增1例新冠肺炎确诊病例（轻型）】#惠州身边事#10月10日12-24时，惠州市仲恺高新区新增1例新冠肺炎确诊病例（轻型）。新增病例情况：女，30岁，家住惠城区三栋镇恒康二路福源居，工作地址：仲恺高新区惠南科技园东森检测科技园。10月3-8日核酸检测阴性，10月10日核酸检测阳性。该病例已转送至定点医院隔离治疗，情况稳定。经初步流调，病例近7天主要活动在惠城区三栋镇、仲恺高新区惠南科技园。10月4日：主要涉及三栋镇鹿颈村6组、博邦人力劳务派遣公司、嘉华百货生活超市、尚美美容SPA。10月5-10日：在住所及公司间往返，主要涉及惠城区溢基服装配料厂核酸采样点、飞翔摩托车城、笼香汤包、狗不理汤包、邓海营诊所和仲恺高新区惠南实验学校核酸采样点。目前，正在有序开展流调溯源、隔离管控、核酸检测、医疗救治等处置工作。,,,,惠州身边事,0,1,1,2022-10-10 23:37,iPhone客户端,['https://wx2.sinaimg.cn/large/6f720d54gy1h70ma5r1lzj20wi0pimxk.jpg'],,
4823166969446419,M9IG4DDrB,1872852495,叙愫_,#郑州疫情#许昌长葛都开始排查10.1号起郑州主城区旅居史进入长葛市的人员了，而我在郑州居然今天才知道有那么多个病例了。,,郑州,,郑州疫情,0,0,7,2022-10-10 23:34,,['https://wx3.sinaimg.cn/large/6fa1760fly1h70m4f85lsj20s211477a.jpg'],,
4823166717791539,M9IFFwGVZ,2590508284,京西门头沟,【#多例感染者抵京后未守防疫规定致多人感染##北京近期累计54例感染者涉10区##北京一物流货车司机已致16例关联病例#】#北京疫情流调图#10月9日0时至24时，北京新增本土感染者14例，其中朝阳6例，东城5例，房山、通州、大兴各1例。另有2例无症状感染者转确诊病例已通报。10月10日0时至15时，北京新增本土感染者12例，其中朝阳8例，通州2例，东城、昌平各1例。9月29日以来，北京累计报告54例感染者，涉10区，其中朝阳19例，东城、昌平、大兴各6例，丰台5例，西城、通州各4例，房山2例，怀柔、延庆各1例。多名感染者抵京后未遵守防疫规定，其中一货车司机未报备已致16例关联病例。#北京疫情防控#（via.北京日报）,,,,"多例感染者抵京后未守防疫规定致多人感染,北京近期累计54例感染者涉10区,北京一物流货车司机已致16例关联病例,北京疫情流调图,北京疫情防控",0,0,0,2022-10-10 23:33,,"['https://wx2.sinaimg.cn/large/9a6804fcly1h70m5moa54j20hs2y0qi5.jpg', 'https://wx3.sinaimg.cn/large/9a6804fcly1h70m5p24ekj2162cmye84.jpg']",,
4823166063739667,M9IECfGRd,2823995382,惠州发布,#疫情防控#【10月10日12-24时惠州市新冠肺炎疫情情况】10月10日12-24时，惠州市仲恺高新区新增1例新冠肺炎确诊病例（轻型）。,,,,疫情防控,4,0,2,2022-10-10 23:31,微博 weibo.com,['https://wx3.sinaimg.cn/large/a852bff6gy1h70m2yy06bj20rj0m8gnu.jpg'],,
4823166025731615,M9IEyo33p,1678429834,FM1052羊城交通台,【广州花都区发现1例在管密接者核酸阳性】#广州疫情防控#据@广州花都发布消息：广州市花都区关于隔离酒店1名在管密切接触者核酸检测阳性情况的通报10月9日，花都区在对隔离酒店在管密切接触者例行核酸检测中发现1例阳性。现将有关情况通报如下：●病例，男，46岁，系10月8日17时花都区通报病例的密切接触者，已闭环转运至广州医科大学附属市八医院隔离治疗，诊断为新冠肺炎确诊病例（轻型）。疫情防控形势依然严峻，请广大居民群众进一步提高防范意识，做好个人日常防护，科学佩戴口罩，勤洗手，常通风，保持社交距离。如有发热等不适症状，在做好个人防护的情况下，尽量避免乘坐公共交通工具，及时到医疗机构发热门诊就诊，按相关要求做好核酸检测。花都区新型冠状病毒肺炎疫情防控指挥部办公室2022年10月10日,,,广州花都发布,广州疫情防控,0,0,2,2022-10-10 23:30,HarmonyOS设备,['https://wx3.sinaimg.cn/large/640ace8agy1h70m2sd0f0j20s00frq6h.jpg'],,
4823165975662181,M9IEtnKZv,6999268745,Lackkkkkkkkk,不逼自己一把都不知道自己一个晚上可以写出三篇大病历三篇教学大查房一篇疑难病例讨论两篇教学讲座,,,,,0,0,1,2022-10-10 23:30,iPhone客户端,"['https://wx4.sinaimg.cn/large/007DGdxngy1h70m114o6wj31400u00xb.jpg', 'https://wx3.sinaimg.cn/large/007DGdxngy1h70m11q92nj31400u0tf9.jpg', 'https://wx4.sinaimg.cn/large/007DGdxngy1h70m10f9llj31400u0alx.jpg', 'https://wx1.sinaimg.cn/large/007DGdxngy1h70m1313jgj30tz0rhwjg.jpg']",,
4823165857436330,M9IEhvcwO,2649744643,龙岩消防,【#北京新增12例本土感染者#】10月9日0时至24时，北京新增本土新冠肺炎病毒感染者14例，其中，隔离观察人员11例，社会面筛查人员3例（其中2例已通报）；朝阳区6例，东城区5例，房山区、通州区、大兴区各1例；轻型11例、无症状感染者3例。另有2例无症状感染者转确诊病例已通报。10月10日0时至15时，北京新增本土新冠肺炎病毒感染者12例，均为隔离观察人员；朝阳区8例，通州区2例，东城区、昌平各1例；轻型11例、无症状感染者1例。已转至定点医院隔离治疗，相关风险点位及人员已管控落位。现将相关情况通报如下：感染者40：通过社会面核酸筛查发现，现住通州区马驹桥镇二街村。10月5日乘坐K600次列车抵京，10月6日、7日进行核酸检测，报告结果均为阴性。10月8日进行核酸检测，10月9日报告结果为阳性，当日诊断为确诊病例，临床分型为轻型。感染者41、42、44、46、47、48、52、53：现住朝阳区金盏乡东窑村。作为风险人员进行居家隔离，10月9日报告核酸检测结果为阳性，分别于10月9日、10日诊断为确诊病例，临床分型均为轻型。感染者45、54：现住朝阳区金盏乡东窑村。作为感染者18的密切接触者进行集中隔离，10月9日报告核酸检测结果为阳性，10月10日诊断为确诊病例，临床分型均为轻型。感染者43：现住昌平区北七家镇东三旗村。10月5日乘坐K600次列车抵京，10月8日作为密切接触者进行集中隔离，10月9日报告核酸检测结果为阳性，10月10日诊断为确诊病例，临床分型为轻型。感染者49：现住通州区于家务回族乡西垡村，货车司机。10月8日在京外进行核酸检测，10月9日从延庆区康庄检查站入京，作为风险人员进行管控，当日进行核酸检测，报告结果为阳性，10月10日诊断为确诊病例，临床分型为轻型。感染者50：现住通州区台湖镇燕保台湖家园，货车司机。10月9日与感染者49一同抵京，当日作为其密切接触者进行核酸检测，报告结果为阳性，10月10日诊断为无症状感染者。感染者51：现住东城区崇文门外街道新景家园西区。10月9日作为感染者30的同时空密切接触者进行居家隔离，当日报告核酸检测结果为阳性，10月10日诊断为确诊病例，临床分型为轻型。（@北京日报记者孙乐琪）,,,北京日报,北京新增12例本土感染者,0,1,0,2022-10-10 23:30,iPhone客户端,,,
