id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4823173184622096,M9IQ6jopW,5661972210,karsonkaye,小区没有确诊也没有密接，灵岛来一圈过后直接铁皮焊死，庆幸前天出去玩了，不然得嚯嚯鳖死在小区,,,,,0,18,2,2022-10-10 23:59,小米11,"['https://wx4.sinaimg.cn/large/006bb3Cqgy1h70muic6hej33hc3hcb2e.jpg', 'https://wx3.sinaimg.cn/large/006bb3Cqgy1h70mvvdadwj30k00k0whj.jpg']",,
4823173072422158,M9IPVaa74,6114860795,瓜瓜quack,看着微信小道消息聊天记录乱飞而学院领导一片静默看着越来越紧的政策和一片安详的确诊数字我觉得我的世界可以在任何一秒迅速崩塌,,,,,1,6,1,2022-10-10 23:58,OPPO Reno6 5G,,,
4823172631757266,M9IPd7n90,6974460248,·夏日筏纭·,#湘潭疫情#湘潭你是真的没钱了几个确诊了步步高还给我开业你是不逼着全湘潭都阳了还复课复课复读物学生全都变阳好吗,,,,湘潭疫情,1,10,68,2022-10-10 23:57,iPhone客户端,,,
4823172614980761,M9IPbkTIR,5494321383,上岸既遂xu,6一个县半天确诊比之前几年加起来还多154个'很多可怕幸好我没回家pyq全是被隔离的,,,,,0,0,0,2022-10-10 23:57,nova7SE 5G你在焦点在,,,
4823171423800110,M9INgfWA6,5848430321,小兰兰记事簿,#泸州疫情#我不太理解了，9号爆发的疫情，新增154个，只有4个有社会活动轨迹，意思那150个之前一个周都没出门过，看样子是居家隔离的，那源头是个啥子情况哦，意思早就有确诊了，然后把和他有接触的早就全部隔离了吗,,,,泸州疫情,0,10,20,2022-10-10 23:52,K30 至尊纪念版,,,
4823170475360384,M9ILJmutO,3001010294,诅咒自己die,#你有超过七年以上的友情吗#去年5月份散了刚好第七年多么巧合啊5月以后我就确诊抑郁直到现在一个人在这段漫长而煎熬的时光里苦苦挣扎但这一切你都不曾知晓,,,,你有超过七年以上的友情吗,0,1,1,2022-10-10 23:48,iQOO Neo3 生而为赢,,,
4823170463567787,M9ILIeY8X,5032698371,CovLall,因为一场路演活动附近区域至少封10天像我们离得稍远的也跟着至少三天临界区域安上铁板公共交通工具不停站一天一户一人领表出门只有20年我们才这么恼火过最近的一个确诊在我们小区对面那天因为码变色出去做核酸街上偶尔一个人黄色法拉利一路直刹根本没几个车公交车沿着机电城停了一坡看惯了平时的热热闹闹现在想起来还是有点小唏嘘其实在想要是我知道有这场活动是不是也会去凑热闹所以真的很恨yq让本来合法合适的社会活动变成人们埋怨个体的理由…,,,,,0,4,1,2022-10-10 23:48,荣耀30 5G,,,
4823170445739983,M9ILGo5en,3605315293,延安中院,【#医生下班路上多看一眼救下一条命#】近日，湖南长沙，医生屈雅娴下班坐公交回家时，发现前排一老人突然站起来跺脚。不一会儿，老人准备下车，但走路有些不稳。出于职业敏感，屈医生上前询问，初步判断老人患脑中风，立即打车将她送医。经诊断，老人被确诊为脑中风，所幸救治及时，已顺利出院！O老人在公交车上直跺脚，她多看一眼救了一命（视频@大米Video）L央视新闻的微博视频L央视新闻的微博视频,,,大米Video,医生下班路上多看一眼救下一条命,0,0,0,2022-10-10 23:48,微博视频号,,"http://f.video.weibocdn.com/o0/dPEjjUTclx07ZSeh8Jqw01041200pMQ60E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1666621946&ssig=zuJotULEjQ&KID=unistore,video",
4823170013728221,M9IKZfDSB,6612401161,八碗饭不知道吃不吃得饱,访问第一是怒那站确诊怒那病了,,,,,0,0,0,2022-10-10 23:46,iPhone客户端,,,
4823169486030833,M9IK8piTv,5574521688,我就是小许啊,第一次疫情离我这么近，但愿不会有确诊，心慌的不行,,,,,0,0,0,2022-10-10 23:44,iPhone客户端,,,
